fridgeTemp,bpm,temp,sg,count,temp_target,roomTemp,gravity_target,hysteresis,device_integration,percentage,report_source,type,pour_volume,battery,device_state,comment,volume_unit,time,rssi,device_source,beer,max_volume,ph,pressure,id,volume,angle,__acc_reading_doc_id,__acc_reading_data_id,timepoint
,,8,1.009,,,,,,default,,,stream,,,,,,1741801971250,,,,,,,KOMORA,,,JJmij8Zf0FWxxx6inWOhvzOkeLV4KI$0$stream$KOMORA$0,jqBSUiFyntdqldAnk869,2025-03-12T17:52:51.250Z
,,7.8,1.009,,,,,,default,,,stream,,,,,,1741798371802,,,,,,,KOMORA,,,JJmij8Zf0FWxxx6inWOhvzOkeLV4KI$0$stream$KOMORA$0,M767HGRok6DnYTPt8HqY,2025-03-12T16:52:51.802Z
,,8.4,1.009,,,,,,default,,,stream,,,,,,1741794771096,,,,,,,KOMORA,,,JJmij8Zf0FWxxx6inWOhvzOkeLV4KI$0$stream$KOMORA$0,Ll3l5pf0SBPaHe5jON35,2025-03-12T15:52:51.096Z
,,7.9,1.009,,,,,,default,,,stream,,,,,,1741791172428,,,,,,,KOMORA,,,JJmij8Zf0FWxxx6inWOhvzOkeLV4KI$0$stream$KOMORA$0,WCKqOzP6PiYp96i9jAMq,2025-03-12T14:52:52.428Z
,,7.9,1.009,,,,,,default,,,stream,,,,,,1741787569355,,,,,,,KOMORA,,,JJmij8Zf0FWxxx6inWOhvzOkeLV4KI$0$stream$KOMORA$0,JxqCUAI7kX6ivan1rL8b,2025-03-12T13:52:49.355Z
,,7.7,1.009,,,,,,default,,,stream,,,,,,1741783968523,,,,,,,KOMORA,,,JJmij8Zf0FWxxx6inWOhvzOkeLV4KI$0$stream$KOMORA$0,H9MNknv7vrCjbvz3Ppvz,2025-03-12T12:52:48.523Z
,,7.7,1.009,,,,,,default,,,stream,,,,,,1741780368978,,,,,,,KOMORA,,,JJmij8Zf0FWxxx6inWOhvzOkeLV4KI$0$stream$KOMORA$0,mtNr9ohMQXWELHYmjGc8,2025-03-12T11:52:48.978Z
,,8.2,1.009,,,,,,default,,,stream,,,,,,1741776769403,,,,,,,KOMORA,,,JJmij8Zf0FWxxx6inWOhvzOkeLV4KI$0$stream$KOMORA$0,ykwfMmj031Nk9agVP5SP,2025-03-12T10:52:49.403Z
,,9.2,1.009,,,,,,default,,,stream,,,,,,1741773171234,,,,,,,KOMORA,,,JJmij8Zf0FWxxx6inWOhvzOkeLV4KI$0$stream$KOMORA$0,d6htJmVjpa6wI6NmKTs3,2025-03-12T09:52:51.234Z
,,9.8,1.009,,,,,,default,,,stream,,,,,,1741769568430,,,,,,,KOMORA,,,JJmij8Zf0FWxxx6inWOhvzOkeLV4KI$0$stream$KOMORA$0,plDePusrGe0c42xrxJoB,2025-03-12T08:52:48.430Z
